27 дек. 2022 13:48:14,524 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 64, Current connections count : 2
27 дек. 2022 13:48:14,530 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 64, Current connections count : 2
27 дек. 2022 13:48:14,531 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 64, Current connections count : 2
27 дек. 2022 13:48:14,537 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 64, Current connections count : 2
27 дек. 2022 13:48:14,542 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 64, Current connections count : 2
27 дек. 2022 13:48:14,544 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 64, Current connections count : 2
27 дек. 2022 13:48:14,544 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 64, Current connections count : 2
27 дек. 2022 13:48:14,551 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 64, Current connections count : 2
27 дек. 2022 13:48:14,557 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 64, Current connections count : 2
27 дек. 2022 13:48:14,559 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 64, Current connections count : 2
27 дек. 2022 13:48:14,559 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 64, Current connections count : 2
27 дек. 2022 13:48:14,565 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 64, Current connections count : 2
27 дек. 2022 13:48:14,567 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 64, Current connections count : 2
27 дек. 2022 13:48:14,572 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 64, Current connections count : 2
27 дек. 2022 13:48:14,573 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 64, Current connections count : 2
27 дек. 2022 13:48:14,579 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 64, Current connections count : 2
27 дек. 2022 13:48:14,585 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 64, Current connections count : 2
27 дек. 2022 13:48:14,586 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 64, Current connections count : 2
27 дек. 2022 13:48:14,587 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 64, Current connections count : 2
27 дек. 2022 13:48:14,593 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 64, Current connections count : 2
27 дек. 2022 13:48:14,598 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 64, Current connections count : 2
